text,label,notes
"Once in a lifetime Seattle event for many of us",Reaction,
"Well if they top their group and win their first knockout game then they will be coming back on July 6th",Prediction,
"yeah saw the crowd at the game was unreal",Reaction,
"As a Canadian visitor for the day, terrific atmosphere, great venue, amazing neighborhood around the stadium and excellent performance by the USMNT",Reaction,
"I truly don't even care about football or soccer and I was caught up in the match and thought the stadium looked fantastic",Reaction,
"today was so cool",Reaction,
"For all the talk of unsold seats, the stadium looks pretty full",Analysis,
"Currently at the Mariners game and the world cup vibes are STILL flowing",Reaction,
"Great game to witness. I was lucky to be able to attend.",Reaction,
"It was a great game and a great day and I loved the vibe in the stadium",Reaction,
"What an incredible match it turned out to be. Wish I could have been there",Reaction,
"Really wish I could have been there. Shame that even the upper decks cost 2000 dollars to attend",Reaction,
"got a ticket for 300 on the fifa resale market a couple days ago for this match",Other,
"Great picture! Tells the pregame story perfect.",Reaction,
"I can see myself in this photo",Reaction,
"It was the best",Reaction,
"God that must have been a breathtaking experience",Reaction,
"That must have been so cool to see in person, especially with the skyline in the background",Reaction,
"WTG Seattle! You showed out today!",Reaction,
"What is the best fan zone? Thinking of coming in for the Round of 16 match",Other,
"Having 2 Gates open for entry is so dumb. Just creates a huge bottle neck",Analysis,
"Looks pretty damn full on TV",Analysis,
"This feels like incredibly poor management",Analysis,
"Victory was tremendously over subscribed",Analysis,
"A lot of those posts are scams and the people posting them do not actually have tickets",Analysis,
"The entire train empties at Chinatown though",Analysis,
"It was ridiculous. Took us close to 45 minutes to get out",Analysis,
"Pacific Place has a really nice setup with three massive screens and it is all air conditioned",Analysis,
"Tickets get pulled from third party resellers a few hours before the game",Analysis,
"The line to get into the Belgium versus Egypt match did not take too long",Analysis,
"Brazil will make the semifinals",Prediction,
"Spain is going to win the group",Prediction,
"I assume my experience today will be impossible as more people will show up early",Prediction,
"Traffic south was pretty bad today and I would not be surprised if it is miserable tomorrow",Prediction,
"I think the atmosphere down there tomorrow will be unlike anything Seattle has ever experienced",Prediction,
"I am so hopeful that the US will be back here for the round of 16",Prediction,
"If they top their group they will be coming back on July 6th",Prediction,
"Pioneer Square and the waterfront will be madness tomorrow",Prediction,
"It will be packed",Prediction,
"The Bosnians seem like they know how to party. Wednesday could be fun",Prediction,
"How early should I get to the stadium to get the most merch and freebies",Other,
"Does anyone know where they sell the half and half scarves before the matches",Other,
"Does anyone have advice on how early we should arrive to a noon World Cup game",Other,
"Looking for Seattle based LGBTQ folks attending Pride Match events",Other,
"Has anyone heard of any pre game festivities",Other,
"Are there jerseys available around the stadium before the games",Other,
"Where do I buy a Bosnia jersey or gear for cheap",Other,
"Would taking the Amtrak Cascades be the best way to go",Other,
"Which station should I get off at for the stadium",Other,
"Has anyone been to a viewing at Seattle Center yet",Other,
"The energy is fire",Reaction,
"Have fun! Vibes have been immaculate so far around the continent",Reaction,
"Can't wait to watch my King Mo Salah in person",Reaction,
"It is lit down by the stadium",Reaction,
"What an amazing atmosphere",Reaction,
"Please make that stadium a whole rainbow",Reaction,
"The atmosphere in Pioneer Square yesterday was incredible",Reaction,
"You guys made me proud. That was top tier",Reaction,
"Occidental Square was a total bust today if you did not get there four hours early",Reaction,
"There are no bathrooms inside and I had to be incredibly pushy to make it back",Reaction,
"RESPECT. Y'all sang the crap out of the anthem",Reaction,
"Fun crowd!",Reaction,
"I've never seen this many people downtown before",Reaction,
"Wondering the same thing",Reaction,
"Following",Reaction,
"Thank you for this. The write up on wait times is super helpful",Reaction,
"This was a great write up",Reaction,
"Hell yea brother me too lol",Reaction,
"Glad you were here",Reaction,
"Come back anytime",Reaction,
"Glad you made the trek, welcome",Reaction,
"Vibes on point",Reaction,
"Congratulations Seattle",Reaction,
"I was lucky enough to get a great seat",Reaction,
"I loved the vibe in the stadium",Reaction,
"How early should I get to the stadium",Other,
"Where can I buy a Bosnia jersey in Seattle",Other,
"Does anyone know where the bars are opening early",Other,
"Can anyone recommend a watch party",Other,
"Has anyone brought a camera into the venue",Other,
"Where can I find Egypt jerseys before the game",Other,
"What is the best watch party experience",Other,
"Are vendors selling jerseys outside the stadium",Other,
"Has anyone tried to bring a breast pump and cooler",Other,
"Which light rail station should I use",Other,
"Has anyone used the Link rail to get to the stadium",Other,
"How crowded will Seattle Center be for USA versus Australia",Other,
"What are people's thoughts regarding the barge viewing experience",Other,
"Is Occidental Square the same thing as Pioneer Square",Other,
"Does anyone know if there is a list of watch parties for Friday",Other,
"Can someone confirm if they sold match specific caps in the stadium",Other,
"Should I expect protests or conflicts around the Egypt versus Iran game",Other,
"Any recommendations for the best place to watch the Mexico versus Korea game",Other,
"What should I not miss around the stadium on Friday",Other,
"Is Pioneer Square or Victory Hall going to be better for the game",Other,
"Where is the best pre game spot for Friday",Other,
"Has anyone done the party barge and is it worth it",Other,
"Does anyone know if the club level is still open during the World Cup",Other,
"What is Seattle Center watch party looking like",Other,
"Any word on US supporters marching to the stadium together Friday",Other,
"The stadium looked fantastic on TV",Analysis,
"The crowd at the game was unreal",Analysis,
"The stadium appeared nearly full despite reports of unsold seats",Analysis,
"Traffic and transit demand increased significantly because of the match",Analysis,
"The wayfinding signage inside the stadium was confusing",Analysis,
"The exit process created a major bottleneck",Analysis,
"The light rail was the most efficient way to reach the stadium",Analysis,
"Many fans chose public transit because parking was limited",Analysis,
"The atmosphere around Pioneer Square contributed to the event experience",Analysis,
"Seattle handled the international visitors well",Analysis,
"The crowd management plan created long delays",Analysis,
"Food and merchandise lines were longer than expected",Analysis,
"The fan zones helped spread crowds across the city",Analysis,
"Ticket prices increased dramatically as the match approached",Analysis,
"The resale market drove up prices for popular matches",Analysis,
"The US will likely return if they win their next match",Prediction,
"Seattle will be even busier for a Round of 16 match",Prediction,
"More fans will arrive early for future matches",Prediction,
"Transit demand will continue to increase during the tournament",Prediction,
"The next Seattle match will sell out",Prediction,
"Fan zones will become more crowded as the tournament progresses",Prediction,
"The atmosphere for knockout matches will be even better",Prediction,
"More international fans will visit Seattle during later rounds",Prediction,
"The waterfront watch parties will reach capacity",Prediction,
"Traffic around the stadium will remain challenging on match days",Prediction,
"You mean Field",Reaction,
"It will always be the Clink to me",Reaction,
"Beast Mode on Lumen Field",Reaction,
"Lumen is specifically designed to keep in sound",Analysis,
"It is pretty impressive considering Arrowhead was not designed for sound",Analysis,
"They literally would queue the fans and placed the dB meters closer than anything at Lumen",Analysis,
"It was not naturally occurring like in Seattle",Analysis,
"Then take it back",Reaction,
"Arrowhead is designed for sound",Analysis,
"Bowl style stadiums do not retain sound nearly as well as stadiums with covers over the audience",Analysis,
"Designing stadiums to funnel sound is not some lost architectural knowledge",Analysis,
"This is standard for Lumen",Analysis,
"I wonder what all those 12s mean",Reaction,
"Bro, you are embarrassing yourself and Australia",Reaction,
"So we had an Owenshake and a Freeshake to go with our Sheedshake",Reaction,
